----------------------------------------------------------------
[RUNNING] Scenario: semi
          Run Name: semi_20251208_165803
          Start   : 20251208_165803
----------------------------------------------------------------
2025-12-08 16:58:05,812 - INFO - Args: {'scenario': 'semi', 'seed': 0, 'batch_size_images': 16, 'event_batch_size': 65536, 'events_per_image': 4096, 'run_name': 'semi_20251208_165803', 'log_interval': 125, 'num_epochs': 30, 'T_unsup1': 100, 'T_unsup2': 100, 'T_semi': 80, 'T_sup': 100, 'spike_array_len': 20, 'sigma_unsup1': 0.1, 'sigma_unsup2': 0.1, 'sigma_semi': 0.1, 'sigma_sup': 0.1, 'N_E': 100, 'N_hidden': 300, 'dt': 1.0, 'layer_index_scale': 1.0, 'lr_actor': 0.001, 'lr_critic': 0.001, 'ppo_eps': 0.2, 'ppo_epochs': 2, 'ppo_batch_size': 4096, 'exc_clip_min': 0.0, 'exc_clip_max': 1.0, 'w_clip_min': -1.0, 'w_clip_max': 1.0, 'inh_clip_min': 0.0, 'inh_clip_max': 1.0, 'local_lr': 0.01, 'rho_target': 0.1, 'alpha_sparse': 1.0, 'alpha_div': 0.1, 'alpha_stab': 0.1, 'beta_margin': 0.5, 'alpha_align': 0.1, 'max_rate': 0.25, 'sup_input_encoding': 'poisson', 'log_gradient_stats': False, 'result_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803', 'log_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803'}
2025-12-08 16:58:05,813 - INFO - Starting scenario: semi
2025-12-08 16:58:05,813 - INFO - Results will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803
2025-12-08 16:58:05,813 - INFO - Logs will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803
2025-12-08 17:50:41,004 - INFO - Epoch 5 | Batch 375/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:51:08,866 - INFO - Epoch 5 | Batch 500/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 17:51:37,187 - INFO - Epoch 5 | Batch 625/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:52:05,388 - INFO - Epoch 5 | Batch 750/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 17:52:33,717 - INFO - Epoch 5 | Batch 875/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 17:53:01,671 - INFO - Epoch 5 | Batch 1000/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 17:53:29,983 - INFO - Epoch 5 | Batch 1125/3375 | Acc 0.2500 | Reward -0.5000
2025-12-08 17:53:57,886 - INFO - Epoch 5 | Batch 1250/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:54:25,711 - INFO - Epoch 5 | Batch 1375/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:54:53,938 - INFO - Epoch 5 | Batch 1500/3375 | Acc 0.3125 | Reward -0.3750
2025-12-08 17:55:21,697 - INFO - Epoch 5 | Batch 1625/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:55:49,562 - INFO - Epoch 5 | Batch 1750/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:56:17,421 - INFO - Epoch 5 | Batch 1875/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:56:45,595 - INFO - Epoch 5 | Batch 2000/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:57:13,852 - INFO - Epoch 5 | Batch 2125/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:57:41,805 - INFO - Epoch 5 | Batch 2250/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 17:58:10,015 - INFO - Epoch 5 | Batch 2375/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 17:58:38,169 - INFO - Epoch 5 | Batch 2500/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 17:59:06,182 - INFO - Epoch 5 | Batch 2625/3375 | Acc 0.2500 | Reward -0.5000
2025-12-08 17:59:34,285 - INFO - Epoch 5 | Batch 2750/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 18:00:02,558 - INFO - Epoch 5 | Batch 2875/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 18:00:30,771 - INFO - Epoch 5 | Batch 3000/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 18:00:58,587 - INFO - Epoch 5 | Batch 3125/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 18:01:26,618 - INFO - Epoch 5 | Batch 3250/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 18:01:54,870 - INFO - Epoch 5 | Batch 3375/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 18:02:31,250 - INFO - Epoch 6 | Batch 125/3375 | Acc 0.2500 | Reward -0.5000
2025-12-08 18:02:59,470 - INFO - Epoch 6 | Batch 250/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 18:03:27,430 - INFO - Epoch 6 | Batch 375/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 18:03:55,713 - INFO - Epoch 6 | Batch 500/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 18:04:23,843 - INFO - Epoch 6 | Batch 625/3375 | Acc 0.2500 | Reward -0.5000
2025-12-08 18:04:51,979 - INFO - Epoch 6 | Batch 750/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 18:05:20,146 - INFO - Epoch 6 | Batch 875/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 18:05:47,962 - INFO - Epoch 6 | Batch 1000/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 18:06:15,991 - INFO - Epoch 6 | Batch 1125/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 18:06:43,565 - INFO - Epoch 6 | Batch 1250/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 18:07:11,476 - INFO - Epoch 6 | Batch 1375/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 18:07:39,725 - INFO - Epoch 6 | Batch 1500/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 18:08:08,070 - INFO - Epoch 6 | Batch 1625/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 18:08:36,200 - INFO - Epoch 6 | Batch 1750/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 18:09:04,236 - INFO - Epoch 6 | Batch 1875/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 18:09:32,581 - INFO - Epoch 6 | Batch 2000/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 18:10:00,919 - INFO - Epoch 6 | Batch 2125/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 18:10:29,183 - INFO - Epoch 6 | Batch 2250/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 18:10:57,054 - INFO - Epoch 6 | Batch 2375/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 18:11:25,263 - INFO - Epoch 6 | Batch 2500/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 18:11:53,255 - INFO - Epoch 6 | Batch 2625/3375 | Acc 0.2500 | Reward -0.5000
2025-12-08 18:12:21,174 - INFO - Epoch 6 | Batch 2750/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 18:12:49,124 - INFO - Epoch 6 | Batch 2875/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 18:13:17,146 - INFO - Epoch 6 | Batch 3000/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 18:13:44,773 - INFO - Epoch 6 | Batch 3125/3375 | Acc 0.2500 | Reward -0.5000
2025-12-08 18:14:12,892 - INFO - Epoch 6 | Batch 3250/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 18:14:40,703 - INFO - Epoch 6 | Batch 3375/3375 | Acc 0.0625 | Reward -0.8750
